,text,airline_sentiment
0,said,neutral
1,plus youve added commercial experience tacky,positive
2,didnt today must mean need take another trip,neutral
3,really aggressive blast obnoxious entertainment guest face amp little recourse,negative
4,really big bad thing,negative
5,seriously would pay 30 flight seat didnt playing really bad thing flying va,negative
6,yes nearly every time fly vx “ ear worm ” ’ go away,positive
7,really missed prime opportunity men without hat parody,neutral
8,well didnt …,positive
9,amazing arrived hour early youre good,positive
10,know suicide second leading cause death among teen 1024,neutral
11,lt3 pretty graphic much better minimal iconography,positive
12,great deal already thinking 2nd trip amp havent even gone 1st trip yet p,positive
13,im flying sky u take away travel,positive
14,thanks,positive
15,sfopdx schedule still mia,negative
16,excited first cross country flight lax mco ive heard nothing great thing virgin america,positive
17,flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help,negative
18,flying,positive
19,know would amazingly awesome bosfll please want fly,positive
20,first fare may three time carrier seat available select,negative
21,love graphic,positive
22,love hipster innovation feel good brand,positive
23,making bosgtlas non stop permanently anytime soon,neutral
24,guy messed seating reserved seating friend guy gave seat away want free internet,negative
25,status match program applied three week called emailed response,negative
26,happened 2 ur vegan food option least say ur site know wont able 2 eat anything next 6 hr,negative
27,miss dont worry well together soon,neutral
28,amazing cant get cold air vent,negative
29,lax ewr middle seat red eye noob maneuver,neutral
30,hi bked cool birthday trip cant add elevate cause entered middle name flight booking problem,negative
31,hour operation club sfo posted online current,neutral
32,help left expensive headphone flight 89 iad lax today seat 2a one answering lampf number lax,negative
33,awaiting return phone call would prefer use online selfservice option,negative
34,great news america could start flight hawaii end year via,positive
35,nice rt vibe moodlight takeoff touchdown,neutral
36,moodlighting way fly best experience ever cool calming,positive
37,done done best airline around hand,positive
38,book flight hawaii,neutral
39,chat support working site,negative
40,view downtown los angeles hollywood sign beyond rain mountain,positive
41,hey first time flyer next week excited im hard time getting flight added elevate account help,negative
42,plz help win bid upgrade flight 227 laxgtsea,neutral
43,unused ticket moved new city dont fly fly expires,neutral
44,flight leaving dallas seattle time feb 24,neutral
45,im good reason rock,positive
46,dream,neutral
47,wow blew mind,positive
48,last night think agree,neutral
49,entertaining,neutral
50,flight 769 way supposed take 30 minute ago website still show time flight thanks,neutral
51,julie andrew way though impressive,positive
52,wish flew atlanta soon,neutral
53,julie andrew hand,neutral
54,flight leaving dallas la february 24th,neutral
55,hi im excited 99 lgagtdal deal ive trying 2 book since last week amp page never load thx,negative
56,know need spotify stat,positive
57,im lady gaga amazing,positive
58,carrie,neutral
59,new marketing song let u know think,neutral
60,julie andrew first lady gaga wowd last night carrie meh,neutral
61,called 34 week ago adding 3 flight 2014 elevatethey still havent shown uphelp,negative
62,great go,neutral
63,sorry mary martin first,neutral
64,love three really cant beat classic,positive
65,flight 0736 dal dca 224 210pm tried check could status please,neutral
66,heyyyy guyyyys trying get hour someone call please,negative
67,hi virgin im hold 4050 minute earlier flight la nyc tonight earlier 1150pm,negative
68,congrats winning award best deal airline u,positive
69,everything fine lost bag,negative
70,need change reservation virgin credit card need modify phone waive change fee online,neutral
71,emailed customer service team let know need tracking number,neutral
72,hi booked flight need add baggage,neutral
73,airline awesome lax loft need step game 40 dirty table floor,negative
74,worried great ride new plane great crew airline like,positive
75,awesome flew yall sat morning way correct bill,positive
76,watch best student film country 35000 foot,neutral
77,first time flying different ratepolicy medium bag thanks,neutral
78,going customer service anyway speak human asap thank,negative
79,happened doom,neutral
80,cant supp biz traveler like customer service like,negative
81,ive applied member crew teamim 100 interested g,positive
82,youre best whenever begrudgingly use airline im delayed late flight,negative
83,interesting flying cancelled flight next four flight planned,negative
84,disappointing experience shared every business traveler meet,negative
85,’ trouble adding flight wife booked elevate account help,negative
86,cant bring reservation online using flight booking problem code,neutral
87,random q whats distribution elevate avatar bet kitty disproportionate share,neutral
88,lt3 flying va life happens trying trip jperhi helpva home page let,neutral
89,site back,negative
90,rnp yeah know,neutral
91,hi get point elevate account recent flight add flight point account,neutral
92,like tv interesting video disappointed cancelled flightled flight flight went jfk saturday,negative
